url,expected_label,ml_phishing_probability,ml_prediction,final_fake_score,authenticity_score,confidence,risk_level,hybrid_prediction,suspicious_indicators,analysis_status,error_message
https://www.google.com,0,0.0062,0,0.0062,0.9938,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
https://www.microsoft.com,0,0.0083,0,0.0083,0.9917,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
https://www.amazon.com,0,0.0062,0,0.0062,0.9938,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
https://allegro.pl,0,0.0075,0,0.0075,0.9925,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
https://www.wikipedia.org,0,0.0083,0,0.0083,0.9917,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
https://www.python.org,0,0.0083,0,0.0083,0.9917,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
https://github.com,0,0.0083,0,0.0083,0.9917,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
https://example.com,0,0.0075,0,0.0075,0.9925,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
http://allegro.oferta7678678564.pl,1,0.4504,0,0.4504,0.5496,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
https://paypal-security-verification-portal.xyz,1,0.4059,0,0.4059,0.5941,LOW,UNKNOWN,0,None,unknown,"Partial report generated. Failed fields: ['authenticity_score', 'fake_score', 'timestamps']. Prior error: Operation 'sandbox initialization' failed with RuntimeError: Isolation validation failed: Sandbox is NOT running in a Docker container. Host-level isolation is NOT enforced. This configuration is for local development only. Use ContainerManager with Docker for untrusted website analysis.. Sandbox terminated per Requirement 6.2."
